pathogen	url
Serratia spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/serratia-spp-eng.php
Shigella spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/shigella-eng.php
Sindbis virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds140e-eng.php
Sporothrix schenckii	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/sporo-eng.php
St. Louis encephalitis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/st-louis-encephalit-eng.php
Staphylococcus aureus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/staphylococcus-aureus-eng.php
Streptobacillus moniliformis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/streptobacillus-eng.php
Streptococcus agalactiae	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/streptococcus-agalactiae-eng.php
Streptococcus pneumoniae	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/streptococcus-pneumoniae-eng.php
Streptococcus pyogenes	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/strep-pyogenes-eng.php
Streptococcus salivarius	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/streptococcus-salivarius-eng.php
Taenia saginata	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/taenia-saginata-eng.php
Taenia solium	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/taenia-solium-eng.php
Toxocara canis, T. cati	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/toxocara-eng.php
Toxoplasma gondii	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds153e-eng.php
Treponema pallidum	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds154e-eng.php
Trichinella spp.	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/trichinella-eng.php
Trichomonas vaginalis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/trichomonas-eng.php
Trichuris trichiura	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/trichuris-trichiura-eng.php
Trypanosoma brucei	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds158e-eng.php
Ureaplasma urealyticum	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/ureaplasma-urealyticum-eng.php
Vaccinia virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/vaccinia-virus-eng.php
Varicella-zoster virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/var-zo-eng.php
Variola virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/variol-eng.php
Venezuelan equine encephalitis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/ven-encephalit-eng.php
Vesicular stomatitis virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/stomatit-eng.php
Vibrio cholerae, serovar 01	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/vibrio-cholerae-eng.php
Vibrio parahaemolyticus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/vibrio-parahaemolyticus-eng.php
West Nile Virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/wnv-vno-eng.php
Wuchereria bancrofti	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/wuchereria-bancrofti-eng.php
Yellow fever virus	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/yfv-vfj-eng.php
Yersinia enterocolitica	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/yersinia-enterocolitica-eng.php
Yersinia pestis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/msds169e-eng.php
Yersinia pseudotuberculosis	http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/yersinia-pseudotuberculosis-eng.php
