name	taxid	lineage	N	host
Human enteric coronavirus strain 4408	627439	ssRNA viruses; ssRNA positive-strand viruses, no DNA stage; Nidovirales; Coronaviridae; Coronavirinae; unclassified coronaviruses	2	Bos taurus; Homo sapiens
Human erythrovirus V9	72197	ssDNA viruses; Parvoviridae; Parvovirinae; Erythroparvovirus; unclassified Erythrovirus	1	Homo sapiens
Human genital-associated circular DNA virus-1	1488574	unclassified viruses	1	Homo sapiens
Human gyrovirus type 1	988776	ssDNA viruses; Circoviridae; Gyrovirus; unclassified Gyrovirus	1	Homo sapiens
Human herpesvirus 1	10298	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Simplexvirus	1	Homo sapiens
Human herpesvirus 2	10310	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Simplexvirus	1	Homo sapiens
Human herpesvirus 3	10335	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Alphaherpesvirinae; Varicellovirus	1	Homo sapiens
Human herpesvirus 4	10376	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Gammaherpesvirinae; Lymphocryptovirus	1	Homo sapiens
Human herpesvirus 4 type 2	12509	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Gammaherpesvirinae; Lymphocryptovirus; Human herpesvirus 4	1	Homo sapiens
Human herpesvirus 5	10359	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Betaherpesvirinae; Cytomegalovirus	1	Homo sapiens
Human herpesvirus 6A	32603	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Betaherpesvirinae; Roseolovirus	1	Homo sapiens
Human herpesvirus 6B	32604	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Betaherpesvirinae; Roseolovirus	1	Homo sapiens
Human herpesvirus 7	10372	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Betaherpesvirinae; Roseolovirus	1	Homo sapiens
Human herpesvirus 8	37296	dsDNA viruses, no RNA stage; Herpesvirales; Herpesviridae; Gammaherpesvirinae; Rhadinovirus	1	Homo sapiens
Human immunodeficiency virus 1	11676	Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Lentivirus; Primate lentivirus group	1	Homo sapiens
Human immunodeficiency virus 2	11709	Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Lentivirus; Primate lentivirus group	1	Homo sapiens
Human mastadenovirus A	129875	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus	1	Homo sapiens
Human mastadenovirus B	108098	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus	1	Homo sapiens
Human mastadenovirus C	129951	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus	1	Homo sapiens
Human mastadenovirus D	130310	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus	3	Homo sapiens; Rattus; Rattus norvegicus
Human mastadenovirus E	130308	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus	1	Homo sapiens
Human mastadenovirus F	130309	dsDNA viruses, no RNA stage; Adenoviridae; Mastadenovirus	1	Homo sapiens
Human metapneumovirus	162145	ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Pneumovirinae; Metapneumovirus	1	Homo sapiens
Human papillomavirus	10566	dsDNA viruses, no RNA stage; Papillomaviridae; unclassified Papillomaviridae; Human papillomavirus types	1	Homo sapiens
Human papillomavirus 116	915428	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 9	1	Homo sapiens
Human papillomavirus KC5	1647924	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; unclassified Gammapapillomavirus	1	Homo sapiens
Human papillomavirus type 10	333759	dsDNA viruses, no RNA stage; Papillomaviridae; Alphapapillomavirus; Alphapapillomavirus 2	1	Homo sapiens
Human papillomavirus type 101	915425	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 6	1	Homo sapiens
Human papillomavirus type 103	338323	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 6	1	Homo sapiens
Human papillomavirus type 108	565537	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 6	1	Homo sapiens
Human papillomavirus type 109	915426	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 7	1	Homo sapiens
Human papillomavirus type 112	915427	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 8	1	Homo sapiens
Human papillomavirus type 121	915429	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 10	1	Homo sapiens
Human papillomavirus type 126	1055684	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 11	1	Homo sapiens
Human papillomavirus type 127	746832	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 12	1	Homo sapiens
Human papillomavirus type 128	931209	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; Gammapapillomavirus 13	1	Homo sapiens
Human papillomavirus type 129	931210	dsDNA viruses, no RNA stage; Papillomaviridae; Gammapapillomavirus; unclassified Gammapapillomavirus	1	Homo sapiens
